2025-10-12 01:59:29.159 | INFO  | com.besp.pki.PkiApplication | Starting PkiApplication using Java 21.0.5 with PID 27000 (C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend\target\classes started by Administrator in C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend)
2025-10-12 01:59:29.162 | INFO  | com.besp.pki.PkiApplication | No active profile set, falling back to 1 default profile: "default"
2025-10-12 01:59:32.499 | INFO  | com.besp.pki.PkiApplication | Started PkiApplication in 3.468 seconds (process running for 44983.553)
2025-10-12 01:59:37.827 | INFO  | com.besp.pki.PkiApplication | Starting PkiApplication using Java 21.0.5 with PID 28760 (C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend\target\classes started by Administrator in C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend)
2025-10-12 01:59:37.832 | INFO  | com.besp.pki.PkiApplication | No active profile set, falling back to 1 default profile: "default"
2025-10-12 02:11:39.698 | INFO  | com.besp.pki.controller.AuthController | User logged in succesfully
2025-10-12 02:41:51.899 | INFO  | com.besp.pki.PkiApplication | Starting PkiApplication using Java 21.0.5 with PID 30336 (C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend\target\classes started by Administrator in C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend)
2025-10-12 02:41:51.906 | INFO  | com.besp.pki.PkiApplication | No active profile set, falling back to 1 default profile: "default"
2025-10-12 02:41:57.518 | INFO  | com.besp.pki.PkiApplication | Starting PkiApplication using Java 21.0.5 with PID 24776 (C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend\target\classes started by Administrator in C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend)
2025-10-12 02:41:57.525 | INFO  | com.besp.pki.PkiApplication | No active profile set, falling back to 1 default profile: "default"
2025-10-12 02:42:59.494 | INFO  | com.besp.pki.controller.AuthController | User logged in succesfully
2025-10-12 02:44:12.353 | INFO  | com.besp.pki.PkiApplication | Starting PkiApplication using Java 21.0.5 with PID 22012 (C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend\target\classes started by Administrator in C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend)
2025-10-12 02:44:12.358 | INFO  | com.besp.pki.PkiApplication | No active profile set, falling back to 1 default profile: "default"
2025-10-12 02:53:48.977 | INFO  | com.besp.pki.PkiApplication | Starting PkiApplication using Java 21.0.5 with PID 27396 (C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend\target\classes started by Administrator in C:\Users\Administrator\Desktop\BSEP\e2-bsep-team5-2025\backend)
2025-10-12 02:53:48.981 | INFO  | com.besp.pki.PkiApplication | No active profile set, falling back to 1 default profile: "default"
2025-10-12 02:53:54.753 | INFO  | com.besp.pki.PkiApplication | Started PkiApplication in 6.185 seconds (process running for 6.877)
2025-10-12 02:54:29.150 | INFO  | com.besp.pki.controller.AuthController | User logged in succesfully
2025-10-12 02:55:25.811 | INFO  | com.besp.pki.controller.AuthController | User logged in succesfully
2025-10-12 02:55:49.053 | INFO  | com.besp.pki.controller.AuthController | User logged in succesfully
2025-10-12 02:59:46.434 | INFO  | com.besp.pki.controller.AuthController | User logged in succesfully
